Date,Tweets,clean_tweets,sentiment
2/22/2012,@Anil_Tulsiram Is it allowed to stafrom PBT? That's also something I found a little strange. Infosys was also my\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/I5cZtU2JZs,Is it allowed to stafrom PBT ? That 's also something I found a little strange . Infosys was also my\xc3\xa2\xe2\x82\xac\xc2\xa6,0.440625
2/23/2012,Infosys Limited $INFY Cut to \xc3\xa2\xe2\x82\xac\xc5\x93Sell\xc3\xa2\xe2\x82\xac\xef\x86\x9d at BidaskClub https://t.co/WqK08oEUYi,Infosys Limited $ INFY Cut to \xc3\xa2\xe2\x82\xac\xc5\x93Sell\xc3\xa2\xe2\x82\xac\xef\x86\x9d at BidaskClub,0.4642857142857143
2/24/2012,@daijiworldmgl: Bengaluru: Email from unknown accuses Infosys of spreading terrorism\nhttps://t.co/aepFIi5Uxo https://t.co/JKh7vqY3LA,: Bengaluru : Email from unknown accuses Infosys of spreading terrorism\n,0.45
2/27/2012,@leading_nowhere https://t.co/QxeTj3930k .. look at infosys page 116,.. look at infosys page,0.5
2/28/2012,"Infosys rolls out ""driver-less golfing cart"" to showcase the power of AI | Gadgets Now https://t.co/m0Z94c2127",Infosys rolls out `` driver-less golfing cart '' to showcase the power of AI | Gadgets Now,0.5
2/29/2012,@TVMohandasPai @nytimes @narendramodi You realised now only. What happened when u were in Infosys no idea abt Indi\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/3LAShJ9oQt,You realised now only . What happened when u were in Infosys no idea abt Indi\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
1/3/2012,Infosys Accelerates Private Cloud Adoption with Micro Focus SUSE Openstack Solution https://t.co/xt68aXiPBV,Infosys Accelerates Private Cloud Adoption with Micro Focus SUSE Openstack Solution,0.5
2/3/2012,Bengaluru: Email from unknown accuses Infosys of spreading terrorism\nhttps://t.co/aepFIi5Uxo https://t.co/JKh7vqY3LA,Bengaluru : Email from unknown accuses Infosys of spreading terrorism\n,0.45
5/3/2012,@yesvinay: Attending workshop on Android App Development by Infosys. Strongly feel students must take up building good apps as their fin\xc3\xa2\xe2\x82\xac\xc2\xa6,: Attending workshop on Android App Development by Infosys . Strongly feel students must take up building good apps as their fin\xc3\xa2\xe2\x82\xac\xc2\xa6,0.7833333333333333
6/3/2012,Infosys introduces private cloud services built with Suse OpenStack - https://t.co/BQg7YUgoMC,Infosys introduces private cloud services built with Suse OpenStack -,0.5
7/3/2012,Infosys Limited $INFY Expected to Announce Quarterly Sales of $2.78 Billion https://t.co/aiweDBFYpA,Infosys Limited $ INFY Expected to Announce Quarterly Sales of $ 2.78 Billion,0.45714285714285713
8/3/2012,@rameshsrivats: Wow. A 100-rupee coin. Truly a Vishal Sikka. https://t.co/ee3Er3QIqQ,: Wow . A -rupee coin . Truly a Vishal Sikka .,0.55
9/3/2012,1morePunita Sinha on Infosis boardobjectedTOby foundersbut Gujju Vishal Sikka sidestepped them1st3r PSUbut Pun\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/wnmQ9wtRAv,morePunita Sinha on Infosis boardobjectedTOby foundersbut Gujju Vishal Sikka sidestepped them1st3r PSUbut Pun\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
12/3/2012,Demystifying AI ML DL with Vishal Sikka and real world examples https://t.co/xaXi5Se8PS,Demystifying AI ML DL with Vishal Sikka and real world examples,0.6
3/13/2012,Demystifying AI ML DL with Vishal Sikka and real world examples https://t.co/17rSrF5GEx via @diginomica,Demystifying AI ML DL with Vishal Sikka and real world examples via,0.6
3/14/2012,@manu4luv: Earlier Vishal Sikka now Sanjay Rajagopalan quits ?\n\nSeems its my turn now ?,: Earlier Vishal Sikka now Sanjay Rajagopalan quits ? \n\nSeems its my turn now ?,0.5
3/15/2012,@Kailash111Bhati: #Gulzar \nVishal Sikka \nBarcelona \n#LordKabirGod has come on the earth in the form of #SantRampalJi \nWatch ? \nIshwar\xc3\xa2\xe2\x82\xac\xc2\xa6,: \nVishal Sikka \nBarcelona \n has come on the earth in the form of \nWatch ? \nIshwar\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
3/16/2012,Infosys gets a month to fix GSTN glitches https://t.co/UPiCCjmEjf,Infosys gets a month to fix GSTN glitches,0.5
3/19/2012,@scbrief: Achieving Compliance To Foreign Supplier Verification Program (FSVP by @Infosys https://t.co/uTdd7FY0Kp #supplychain #logisti\xc3\xa2\xe2\x82\xac\xc2\xa6,: Achieving Compliance To Foreign Supplier Verification Program ( FSVP by \xc3\xa2\xe2\x82\xac\xc2\xa6,0.4375
3/20/2012,Congratulations Sakshi for elected in Infosys.\n@TiwariTevar,Congratulations Sakshi for elected in Infosys.\n,0.5
3/21/2012,Achieving Compliance To Foreign Supplier Verification Program (FSVP by @Infosys https://t.co/uTdd7FY0Kp #supplychain #logistics,Achieving Compliance To Foreign Supplier Verification Program ( FSVP by,0.4375
3/22/2012,Indian IT company Infosys CEO Vishal Sikka resigns  https://t.co/9ZeHygRjrW,Indian IT company Infosys CEO Vishal Sikka resigns,0.5
3/23/2012,@AnilaSingh2 @TimesNow @BJP4India @BJP4UP @myogiadityanath If u were the founder of Infosys honestly can u tell me\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/8CzXRuJGcB,If u were the founder of Infosys honestly can u tell me\xc3\xa2\xe2\x82\xac\xc2\xa6,0.8
3/26/2012,100+ questions infosys bet it will be what all the acronyms and what they mean plus the quick keys and what they mean,+ questions infosys bet it will be what all the acronyms and what they mean plus the quick keys and what they mean,0.4513888888888889
3/27/2012,Cma Cgm Group Signs Strategic Partnership With Infosys To Accelerate Of Its Informa. [https://t.co/85GNnMUzff]\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/DL5sQ1jxYG,Cma Cgm Group Signs Strategic Partnership With Infosys To Accelerate Of Its Informa . [ ] \xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
3/28/2012,@Narryhyd: This is awesome.. we contribute in a small way with our Pocharam campus fully on solar.. @Infosys https://t.co/tWOChmfv6Q,: This is awesome.. we contribute in a small way with our Pocharam campus fully on solar..,0.6875
3/29/2012,#BPM Infosys Limited (INFY Position Increased by UBS Asset &lt;b&gt;Management&lt;/b&gt; Americas Inc\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/l5VZBFsZsJ,Infosys Limited ( INFY Position Increased by UBS Asset & lt ; b & gt ; Management & lt ; /b & gt ; Americas Inc\xc3\xa2\xe2\x82\xac\xc2\xa6,0.4642857142857143
3/30/2012,"@Infosys_nmurthy - Respected Sir . I am ready for ""earthshaking"" invention that would become household name globally. Need your support",- Respected Sir . I am ready for `` earthshaking '' invention that would become household name globally . Need your support,0.55
2/4/2012,Dear Infosys!\nWhat is the Procedure to Get Transfer to Kerala? ?\nHave Literally fell in love with the People... https://t.co/OmZshr8to9,Dear Infosys ! \nWhat is the Procedure to Get Transfer to Kerala ? ? \nHave Literally fell in love with the People ...,0.75
3/4/2012,"@oracleemeaps: Congratulations to our @oraclepartners #EMEAps @infosys ""Most Deals Booked"" @OracleCloud #OracleMSP. Time to celebrate at\xc3\xa2\xe2\x82\xac\xc2\xa6",: Congratulations to our `` Most Deals Booked '' . Time to celebrate at\xc3\xa2\xe2\x82\xac\xc2\xa6,0.75
4/4/2012,Growing #BookValue for #Infosys Ltd. #INFY https://t.co/JMmVKeAbTY,Growing for Ltd .,0.5
5/4/2012,@manaman_chhina @menakadoshi Infosys ? Punita Sinha is govt apointee,Infosys ? Punita Sinha is govt apointee,0.5
9/4/2012,Senior Technology Architect - US @Infosys Richardson TX #AMIL #Oracle https://t.co/weLcue2xxQ,Senior Technology Architect - US Richardson TX,0.5
10/4/2012,Idk when I will study. God Bless me and Infosys.,Idk when I will study . God Bless me and Infosys .,0.5
11/4/2012,Infosys exam please be good to me ?,Infosys exam please be good to me ?,0.85
12/4/2012,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/hvauNVyIEZ,Infosys Limited $ INFY Position Increased by UBS Asset Management Americas Inc .,0.4642857142857143
4/13/2012,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/1yhxoHVwrN,Infosys Limited $ INFY Position Increased by UBS Asset Management Americas Inc .,0.4642857142857143
4/16/2012,@DrGPradhan Structural reforms also needs some testing beforehand. No QA at all when Infosys tells on day of launch\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/LDRquTpZqM,Structural reforms also needs some testing beforehand . No QA at all when Infosys tells on day of launch\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
4/17/2012,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/55EnwVRhoN,Infosys Limited $ INFY Position Increased by UBS Asset Management Americas Inc .,0.4642857142857143
4/18/2012,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/8gs2QKToSZ,Infosys Limited $ INFY Position Increased by UBS Asset Management Americas Inc .,0.4642857142857143
4/19/2012,@AshokKhemka_IAS: Larger war in Infosys is between ethics and more profits. Founders' vision is long term sustaining. Why conceal inquir\xc3\xa2\xe2\x82\xac\xc2\xa6,: Larger war in Infosys is between ethics and more profits . Founders ' vision is long term sustaining . Why conceal inquir\xc3\xa2\xe2\x82\xac\xc2\xa6,0.575
4/20/2012,@oracleemeaps @oraclepartners @Infosys @OracleCloud @oracleopenworld This is awesome!,This is awesome !,1.0
4/23/2012,Infosys SAP Technical and Functional Openings neeraj.agarwal@infosys.com,Infosys SAP Technical and Functional Openings neeraj.agarwal.com,0.5
4/24/2012,@RajeevSrinivasa Appalled that crappy article like this is endorsed by  infosys co-founder,Appalled that crappy article like this is endorsed by infosys co-founder,0.09999999999999998
4/25/2012,@BAF_Fund: Infosys arm to take Indian start-up tech to global #financial clients https://t.co/FcYZfWkLrZ  #stocks #investment #Bitcoin #\xc3\xa2\xe2\x82\xac\xc2\xa6,: Infosys arm to take Indian start-up tech to global clients \xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
4/26/2012,Global SmaGrid Data Analytics Market 2017: EMC Corporation SAS IBM SAP Verizon Infosys Accenture\xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/fmsJzfuTd9,Global SmaGrid Data Analytics Market : EMC Corporation SAS IBM SAP Verizon Infosys Accenture\xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
4/27/2012,Transform your customer experience platform with Infosys CX solutions https://t.co/qg1f3NBn4j,Transform your customer experience platform with Infosys CX solutions,0.5
4/30/2012,Visit Infosys powered #AI &amp; #Automation Central to discover the best of content on AI &amp; automation https://t.co/nhTrMRGkyy,Visit Infosys powered & amp ; Central to discover the best of content on AI & amp ; automation,0.75
1/5/2012,@rohitkb1109: How to make #innovation mainstream in large companies? Infosys #ZeroDistance helps answer this #InfosysInsights https://t.\xc3\xa2\xe2\x82\xac\xc2\xa6,: How to make mainstream in large companies ? Infosys helps answer this,0.6071428571428571
2/5/2012,How to make #innovation mainstream in large companies? Infosys #ZeroDistance helps answer this #InfosysInsights https://t.co/Xe1G9FrSe0,How to make mainstream in large companies ? Infosys helps answer this,0.6071428571428571
3/5/2012,@Infosys: What are the near future implications of #AI in your industry? Read here https://t.co/FobFMLLPUR #InfosysInsights https://t.co\xc3\xa2\xe2\x82\xac\xc2\xa6,: What are the near future implications of in your industry ? Read here,0.525
4/5/2012,Infosys arm to take Indian start-up tech to global #financial clients https://t.co/FcYZfWkLrZ  #stocks #investment\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/o6r8EKzynN,Infosys arm to take Indian start-up tech to global clients \xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
7/5/2012,When Narayana Murthy started Infosys nobody believed software could be such a b... https://t.co/D9YASelX3b | ? by\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/P9nUGAiFls,When Narayana Murthy started Infosys nobody believed software could be such a b ... | ? by\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
8/5/2012,@gauravaolbhatt: Retweeted Amit Malviya (@malviyamit:\n\nInfosys is run by dynasts..? This man is genius.. https://t.co/A0fTtSI2bF https:\xc3\xa2\xe2\x82\xac\xc2\xa6,: Retweeted Amit Malviya ( n\nInfosys is run by dynasts.. ? This man is genius.. httpsxc3\xa2\xe2\x82\xac\xc2\xa6,0.5
9/5/2012,@shuvankr: One BJP Minister's Wife also made Director of Infosys ..\nAhem Ahem ..\nCough Cough Cough\nunder #LootLoIndia scheme of Modi\xc3\xa2\xe2\x82\xac\xc2\xa6,: One BJP Minister 's Wife also made Director of Infosys ..\nAhem Ahem ..\nCough Cough Cough\nunder scheme of Modi\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
10/5/2012,@of_common @republic On tht I am with u. And @republic too asking these questions to govt. Infosys is responsible f\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/3lr3X1k91z,On tht I am with u . And too asking these questions to govt . Infosys is responsible f\xc3\xa2\xe2\x82\xac\xc2\xa6,0.6
11/5/2012,@VicGovernor: A privilege to visit @infosys - an ICT leader in both Bengaluru and Victoria @TradeVictoria @InvestVictoria @AusCGChennai\xc3\xa2\xe2\x82\xac\xc2\xa6,: A privilege to visit - an ICT leader in both Bengaluru and Victoria \xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
5/14/2012,Infosys Finacle Lite powered by Red Hat Enterprise Linux and Jboss Middleware https://t.co/6wE1sZfduk,Infosys Finacle Lite powered by Red Hat Enterprise Linux and Jboss Middleware,0.5
5/15/2012,Infosys introduces private cloud services built with Suse OpenStack - https://t.co/LadAzOCj4q,Infosys introduces private cloud services built with Suse OpenStack -,0.5
5/16/2012,i need 280 characters to gripe about my lazy fuck intro to infosys teacher,i need characters to gripe about my lazy fuck intro to infosys teacher,0.3375
5/17/2012,@RdNitin: @vinodja98483211 Oh ok.... TCS Infosys L&amp;T100s of Indian MNCs must also be targeted right?.. Anyways appreciate ur whole he\xc3\xa2\xe2\x82\xac\xc2\xa6,: Oh ok ... . TCS Infosys L & amp ; T100s of Indian MNCs must also be targeted right ? .. Anyways appreciate ur whole he\xc3\xa2\xe2\x82\xac\xc2\xa6,0.6642857142857143
5/18/2012,One BJP Minister's Wife also made Director of Infosys ..\nAhem Ahem ..\nCough Cough Cough\nunder #LootLoIndia schem\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/fj60CpqNNc,One BJP Minister 's Wife also made Director of Infosys ..\nAhem Ahem ..\nCough Cough Cough\nunder schem\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
5/21/2012,@in_tradingview: #INFY - Infosys 27-09-2017 Intraday &amp; Positional - https://t.co/n4Bxgykxkz,: - Infosys -09-2017 Intraday & amp ; Positional -,0.5
5/22/2012,@surewrap: @republic Once digitisation is smooth ppl will be haapy and growth will accelerate.There are companies like Infosys TCS Wip\xc3\xa2\xe2\x82\xac\xc2\xa6,: Once digitisation is smooth ppl will be haapy and growth will accelerate.There are companies like Infosys TCS Wip\xc3\xa2\xe2\x82\xac\xc2\xa6,0.7
5/23/2012,@republic Once digitisation is smooth ppl will be haapy and growth will accelerate.There are companies like Infosys\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/i6LwOAg6vG,Once digitisation is smooth ppl will be haapy and growth will accelerate.There are companies like Infosys\xc3\xa2\xe2\x82\xac\xc2\xa6,0.7
5/24/2012,Infosys gets a month to fix GSTN glitches https://t.co/E6aTYM52X7,Infosys gets a month to fix GSTN glitches,0.5
5/25/2012,@BSNLCorporate  the 3G service which you give  pathetic at many places of TVM including kazhakkottam (infosys campus. Please fix it..,the G service which you give pathetic at many places of TVM including kazhakkottam ( infosys campus . Please fix it..,0.375
5/29/2012,currently no motivation in studying infosys if she\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s just gonna tell me that i\xc3\xa2\xe2\x82\xac\xe2\x84\xa2m a fucking failure&amp; how her other student is so much better,currently no motivation in studying infosys if she\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s just gon na tell me that i\xc3\xa2\xe2\x82\xac\xe2\x84\xa2m a fucking failure & amp ; how her other student is so much better,0.5072916666666667
5/30/2012,Online is no longer a suppomechanism to physical stores -  Subhashis NathAVPSenior Industry Principal Infosys.\nhttps://t.co/LOqwmd8TcU,Online is no longer a suppomechanism to physical stores - Subhashis NathAVPSenior Industry Principal Infosys.\n,0.5
5/31/2012,@AshDubey_: The issue is in defective software .. Infosys has delivered poor piece of code.They need to be penalized .. \nBut how come GS\xc3\xa2\xe2\x82\xac\xc2\xa6,: The issue is in defective software .. Infosys has delivered poor piece of code.They need to be penalized .. \nBut how come GS\xc3\xa2\xe2\x82\xac\xc2\xa6,0.3
1/6/2012,@craigbrownphd: Huawei Partners with Infosys and Wapwag to Release Innovative Practices Based on Open Edge\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/JhlF06VqcZ #Big\xc3\xa2\xe2\x82\xac\xc2\xa6,: Huawei Partners with Infosys and Wapwag to Release Innovative Practices Based on Open Edge\xc3\xa2\xe2\x82\xac\xc2\xa6 \xc3\xa2\xe2\x82\xac\xc2\xa6,0.625
4/6/2012,@GujralAshwani: \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Ashwani Gujral Makes Fortune In Duel Between Narayana Murthy &amp; Vishal Sikka https://t.co/mGDFOwsZAF,: \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Ashwani Gujral Makes Fortune In Duel Between Narayana Murthy & amp ; Vishal Sikka,0.5
5/6/2012,@puneetsuppal: Amazing energy at the @Infosys booth 1602 at #OOW17. #InfosysAtOOW @InfosysEvents https://t.co/BJpqPCqjCO,: Amazing energy at the booth at .,0.8
6/6/2012,Spin to win at the @Infosys booth at #OOW17 this week! #InfosysAtOOW #digitaltransformation https://t.co/WwqxjfBQhY,Spin to win at the booth at this week !,1.0
7/6/2012,Amazing energy at the @Infosys booth 1602 at #OOW17. #InfosysAtOOW @InfosysEvents https://t.co/BJpqPCqjCO,Amazing energy at the booth at .,0.8
8/6/2012,Fluid flow #loved_it @ Infosys Mysore Campus https://t.co/ltmpnEj2jl,Fluid flow Infosys Mysore Campus,0.5
11/6/2012,@PurposefulAI: With #InfosysNia leverage knowledge to do incredible things at @oracleopenworld booth: #1602 https://t.co/ot4YxS3pFS #OOW\xc3\xa2\xe2\x82\xac\xc2\xa6,: With leverage knowledge to do incredible things at booth : \xc3\xa2\xe2\x82\xac\xc2\xa6,0.95
12/6/2012,With #InfosysNia leverage knowledge to do incredible things at @oracleopenworld booth: #1602 https://t.co/ot4YxS3pFS #OOW17 #AI @Infosys,With leverage knowledge to do incredible things at booth :,0.95
6/13/2012,Here's a timeline of events of India\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s second-largest software exporter #Infosys https://t.co/NHJSKYWYtC \xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/DfVMQhBKeY,Here 's a timeline of events of India\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s second-largest software exporter \xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
6/14/2012,@NAR Infosys is dying ?,Infosys is dying ?,0.5
6/15/2012,@InfosysEvents: Explore the @Infosys #VR experience at #OOW17 for your chance to win a wireless travel keyboard! #InfosysAtOOW https://t\xc3\xa2\xe2\x82\xac\xc2\xa6,: Explore the experience at for your chance to win a wireless travel keyboard !,1.0
6/18/2012,Swachhta as service observed in the iconic trivandrum central rly station in association with infosys https://t.co/SFwQnCKzrP,Swachhta as service observed in the iconic trivandrum central rly station in association with infosys,0.625
6/19/2012,Trivandrum central station provides a perfect setting for the spread of swachhta movement_ flash mob by infosys team https://t.co/bHKY17pmlR,Trivandrum central station provides a perfect setting for the spread of swachhta movement_ flash mob by infosys team,0.75
6/20/2012,Looking for a job in the @Oracle ecosphere? See Richard at #OOW17 booth 1602. #hiring #jobs #InfosysAtOOW\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/aOT0hLy8mn,Looking for a job in the ecosphere ? See Richard at booth . \xc3\xa2\xe2\x82\xac\xc2\xa6,0.5
